height,height_source,floors,lon,lat
7.3,estimated,1.9,12.483991949391893,41.892495239406266
5.1,estimated,1.6,12.484197245234364,41.89251908566108
5.4,estimated,1.6,12.484036367695758,41.892443741037745
5.7,estimated,1.3,12.484258419705293,41.89253658508705
9.4,estimated,2.2,12.495134486305266,41.890183276073614
6.2,estimated,1.0,12.470225675611005,41.88393099965865
5.9,estimated,1.4,12.487284624481578,41.88765167776268
3.9,estimated,1.0,12.486598473936107,41.88375843884119
8.3,estimated,1.2,12.485216400000187,41.89383789403884
8.3,estimated,1.2,12.485263413557925,41.89386870011801
8.3,estimated,1.2,12.48525401340767,41.893861850338155
8.3,estimated,1.2,12.48524378644244,41.89385468795973
8.3,estimated,1.2,12.48522231355795,41.893841200118
8.3,estimated,1.2,12.48523811340765,41.893850150338125
8.3,estimated,1.2,12.485248786592727,41.89385843773956
8.3,estimated,1.2,12.485228100000167,41.89384349403885
8.3,estimated,1.2,12.485268213407682,41.89387385033815
8.3,estimated,1.2,12.48523270000021,41.89384724403884
8.3,estimated,1.2,12.485258613407643,41.893865750338165
19.2,estimated,1.4,12.497756305225357,41.91023587302655
10.1,estimated,1.3,12.484562650644682,41.892205993450396
11.1,estimated,1.5,12.486617377602522,41.8943256806655
5.4,estimated,1.1,12.485700849999843,41.89159559403801
5.2,estimated,1.1,12.465851042996272,41.90565464068688
6.2,estimated,1.1,12.490904020064342,41.89007382444026
12.1,estimated,1.5,12.486442691687294,41.89251405181757
6.3,estimated,1.0,12.492175140127207,41.88058901674567
